"Player","Date","G","School","Loc","Opponent","WL","Tackle Solo","Tackle Assist","Tackle Tot","Tackle For Loss","Sack","unique_id"
"Grant Harris","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,0,1,1,1,"grant-harris-1"
"Myles Hartsfield","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,3,4,0,0,"myles-hartsfield-1"
"Marquis Haynes","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,1,2,1,0,"marquis-haynes-1"
"Willie Hibbler","2017-11-23",12,"Mississippi","@","Mississippi State","W",2,0,2,0,0,"willie-hibbler-1"
"Braxton Hoyett","2017-11-23",12,"Mississippi State",,"Mississippi","L",0,4,4,1,0,"braxton-hoyett-1"
"Elgton Jenkins","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,0,1,0,0,"elgton-jenkins-1"
"Benito Jones","2017-11-23",12,"Mississippi","@","Mississippi State","W",3,3,6,2.5,0,"benito-jones-1"
"Jaylon Jones","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,2,3,0,0,"jaylon-jones-1"
"Leo Lewis","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,1,2,0.5,0.5,"leo-lewis-2"
"Armani Linton","2017-11-23",12,"Mississippi","@","Mississippi State","W",0,1,1,0,0,"armani-linton-1"
"DaMarkus Lodge","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,0,1,0,0,"damarkus-lodge-1"
"Mark McLaurin","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,4,5,1,0,"mark-mclaurin-1"
"A.J. Moore","2017-11-23",12,"Mississippi","@","Mississippi State","W",3,1,4,0,0,"aj-moore-2"
"C.J. Moore","2017-11-23",12,"Mississippi","@","Mississippi State","W",3,1,4,0,0,"cj-moore-2"
"Herbert Moore","2017-11-23",12,"Mississippi","@","Mississippi State","W",0,1,1,0,0,"herbert-moore-1"
"Jamal Peters","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,0,1,0,0,"jamal-peters-1"
"Tayler Polk","2017-11-23",12,"Mississippi","@","Mississippi State","W",3,4,7,0,0,"tayler-polk-1"
"Jack Propst","2017-11-23",12,"Mississippi","@","Mississippi State","W",0,1,1,0.5,0,"jack-propst-1"
"Chris Rayford","2017-11-23",12,"Mississippi State",,"Mississippi","L",1,0,1,0,0,"chris-rayford-1"
"Austrian Robinson","2017-11-23",12,"Mississippi","@","Mississippi State","W",4,4,8,1.5,1,"austrian-robinson-1"
"Mohamed Sanogo","2017-11-23",12,"Mississippi","@","Mississippi State","W",0,2,2,0,0,"mohamed-sanogo-1"
"John-Patrick Sherling","2017-11-23",12,"Mississippi","@","Mississippi State","W",1,0,1,0,0,"john-patrick-sherling-1"
"Jeffery Simmons","2017-11-23",12,"Mississippi State",,"Mississippi","L",0,2,2,0.5,0,"jeffery-simmons-1"
"Breeland Speaks","2017-11-23",12,"Mississippi","@","Mississippi State","W",4,8,12,1.5,1,"breeland-speaks-1"
"Marquiss Spencer","2017-11-23",12,"Mississippi State",,"Mississippi","L",0,1,1,0.5,0,"marquiss-spencer-1"
"Montez Sweat","2017-11-23",12,"Mississippi State",,"Mississippi","L",0,4,4,1,0.5,"montez-sweat-1"
"Eroll Thompson","2017-11-23",12,"Mississippi State",,"Mississippi","L",3,2,5,1.5,1.5,"eroll-thompson-1"
"Kendarius Webster","2017-11-23",12,"Mississippi","@","Mississippi State","W",3,5,8,0.5,0,"kendarius-webster-1"
