School,Conf,Coach,School Pay,Total Pay,Max Bonus,Asst Pay Total,School Buyout AS OF 12/1/17
Louisiana Tech,C-USA,Blake Baker,208000,208000,16667,1175000,
Old Dominion,C-USA,Brian Scott,203883,207383,0,1090666,
Georgia Tech,ACC,Joe Speed,207226,207226,17269,2534515,
Wyoming,Mt. West,Steve Stanard,200004,205254,16667,1289782,
Colorado,Pac-12,Joe Tumpkin,204625,205025,39231,2661601,
Purdue,Big Ten,DeAndre Smith,205000,205000,165000,2495000,
Purdue,Big Ten,Tim Lester,205000,205000,165000,2495000,
Kansas State,Big 12,Blake Seiler,200000,204500,84000,3203525,
Colorado State,Mt. West,Ronnie Letson,203600,203600,44489,1845555,
South Florida,AAC,Alonzo Hampton,200000,203500,0,1911500,
Georgia Tech,ACC,Bryan Cook,203345,203345,16945,2534515,
Georgia Tech,ACC,Lamar Owens,203345,203345,16945,2534515,
Wyoming,Mt. West,Brent Vigen,200004,203254,16667,1289782,
North Carolina,ACC,Tray Scott,203000,203000,33833,2598400,
Massachusetts,Ind.,Tom Masella,198294,202739,24025,854284,
UTEP,C-USA,Brent Pease,202135,202135,77378,1201860,
UTEP,C-USA,Tom Mason,202135,202135,77378,1201860,
Connecticut,AAC,Wayne Lineburg,201644,201644,62044,1893802,
Connecticut,AAC,Kevin Wolthausen,201644,201644,62044,1893802,
Washington State,Pac-12,Eric Mele,201500,201500,25188,2662000,
New Mexico,Mt. West,Kevin Cosgrove,201250,201450,0,1439460,
Army,Ind.,Mitch Ware,201000,201000,30000,2185759,
Boise State,Mt. West,Junior Adams,200013,200013,17000,2052597,
Boise State,Mt. West,Ashley Ambrose,200013,200013,17001,2052597,
Oregon State,Pac-12,Derrick Odum,200004,200004,77777,2736691,
Oregon State,Pac-12,Brent Brennan,200004,200004,77777,2736691,
East Carolina,AAC,Deke Adams,200000,200000,21667,1701500,
Texas Tech,Big 12,Kevin Patrick,200000,200000,16667,2247900,
Iowa State,Big 12,Eli Rasheed,200000,200000,16600,2318250,
