Player,Pos,Age,Date,LG,Team,Loc,Opponent,WL,G,Week,Day,Punt Ret,Punt Ret Yds,Punt Ret YPA,Punt Ret TD,unique_id
Tarik Cohen,RB,24.086,2019-10-20,NFL,CHI,,NOR,L 25-36,6,7,Sun,2,6,3.00,0,CoheTa00
Pharoh Cooper,WR,24.227,2019-10-20,NFL,ARI,@,NYG,W 27-21,7,7,Sun,1,3,3.00,0,CoopPh00
Trevor Davis,WR,26.108,2019-10-20,NFL,OAK,@,GNB,L 24-42,6,7,Sun,2,47,23.50,0,DaviTr03
Alex Erickson,WR,26.348,2019-10-20,NFL,CIN,,JAX,L 17-27,7,7,Sun,1,5,5.00,0,EricAl01
Russell Gage,WR,23.271,2019-10-20,NFL,ATL,,LAR,L 10-37,7,7,Sun,1,-6,-6.00,0,GageRu00
Deonte Harris,WR/RS,21.320,2019-10-20,NFL,NOR,@,CHI,W 36-25,7,7,Sun,5,46,9.20,0,HarrDe07
Mike Hughes,CB,22.251,2019-10-20,NFL,MIN,@,DET,W 42-30,7,7,Sun,2,9,4.50,0,HughMi00
Adam Humphries,WR,26.118,2019-10-20,NFL,TEN,,LAC,W 23-20,7,7,Sun,1,14,14.00,0,HumpAd00
Richie James,WR,24.045,2019-10-20,NFL,SFO,@,WAS,W 9-0,6,7,Sun,2,30,15.00,0,JameRi00
Cyrus Jones,CB/RS,25.325,2019-10-20,NFL,BAL,@,SEA,W 30-16,7,7,Sun,2,8,4.00,0,JoneCy00
Tyler Lockett,WR,27.022,2019-10-20,NFL,SEA,,BAL,L 16-30,7,7,Sun,2,12,6.00,0,LockTy00
Jojo Natson,WR,25.261,2019-10-20,NFL,LAR,@,ATL,W 37-10,7,7,Sun,3,33,11.00,0,NatsJo00
Trey Quinn,WR,23.317,2019-10-20,NFL,WAS,,SFO,L 0-9,7,7,Sun,1,0,0.00,0,QuinTr00
Andre Roberts,WR,31.284,2019-10-20,NFL,BUF,,MIA,W 31-21,6,7,Sun,3,22,7.33,0,RobeAn00
Boston Scott,RB,24.176,2019-10-20,NFL,PHI,@,DAL,L 10-37,7,7,Sun,1,8,8.00,0,ScotBo02
Golden Tate,WR,31.079,2019-10-20,NFL,NYG,,ARI,L 21-27,7,7,Sun,1,17,17.00,0,TateGo00
Mike Thomas,WR,25.065,2019-10-20,NFL,LAR,@,ATL,W 37-10,7,7,Sun,1,3,3.00,0,ThomMi04
Dede Westbrook,WR,25.333,2019-10-20,NFL,JAX,@,CIN,W 27-17,7,7,Sun,3,15,5.00,0,WestDe00
Preston Williams,WR,22.207,2019-10-20,NFL,MIA,@,BUF,L 21-31,6,7,Sun,1,19,19.00,0,WillPr01
Braxton Berrios,WR,24.015,2019-10-21,NFL,NYJ,,NWE,L 0-33,6,7,Mon,3,14,4.67,0,BerrBr00
Gunner Olszewski,WR,22.329,2019-10-21,NFL,NWE,@,NYJ,W 33-0,7,7,Mon,2,24,12.00,0,OlszGu00
Danny Amendola,WR,33.359,2019-10-27,NFL,DET,,NYG,W 31-26,7,8,Sun,1,4,4.00,0,AmenDa00
Kenjon Barner,RB,29.182,2019-10-27,NFL,ATL,,SEA,L 20-27,8,8,Sun,3,8,2.67,0,BarnKe00
DeAndre Carter,WR,26.200,2019-10-27,NFL,HOU,,OAK,W 27-24,8,8,Sun,4,32,8.00,0,CartDe02
Tarik Cohen,RB,24.093,2019-10-27,NFL,CHI,,LAC,L 16-17,7,8,Sun,5,50,10.00,0,CoheTa00
Pharoh Cooper,WR,24.234,2019-10-27,NFL,ARI,@,NOR,L 9-31,8,8,Sun,1,8,8.00,0,CoopPh00
Trevor Davis,WR,26.115,2019-10-27,NFL,OAK,@,HOU,L 24-27,7,8,Sun,1,3,3.00,0,DaviTr03
Alex Erickson,WR,26.355,2019-10-27,NFL,CIN,@,LAR,L 10-24,8,8,Sun,1,0,0.00,0,EricAl01
Tyler Ervin,RB,26.020,2019-10-27,NFL,JAX,,NYJ,W 29-15,8,8,Sun,3,3,1.00,0,ErviTy00
Mecole Hardman,WR,21.229,2019-10-27,NFL,KAN,,GNB,L 24-31,8,8,Sun,1,18,18.00,0,HardMe00
Deonte Harris,WR/RS,21.327,2019-10-27,NFL,NOR,,ARI,W 31-9,8,8,Sun,3,17,5.67,0,HarrDe07
